uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
RS,Venâncio Aires,54648,2199,1573,15
RS,Vera Cruz,19682,512,467,11
RS,Veranópolis,18946,688,453,9
RS,Vespasiano Corrêa,2188,16,14,9
RS,Viadutos,4123,49,46,9
RS,Viamão,134827,10391,8746,21
RS,Vicente Dutra,4369,27,19,9
RS,Victor Graeff,2701,24,24,9
RS,Vila Flores,3095,51,39,9
RS,Vila Lângaro,2107,16,38,9
RS,Vila Maria,3628,38,49,9
RS,Vila Nova do Sul,3505,39,34,9
RS,Vista Alegre,2383,8,9,9
RS,Vista Alegre do Prata,1490,17,26,9
RS,Vista Gaúcha,2509,40,79,9
RS,Vitória das Missões,3246,34,15,9
RS,Westfália,2643,87,79,9
RS,Xangri-Lá,9041,162,129,9
